道具id,奖牌,类型id,称号,最大堆叠数,3d资源id,2d图标id,职业,1:初始绑定， 0：初始不绑定 (绑定代表不可交易),是否死亡保护（不会掉掉落）,是否可回收给系统商店,卖出价钱,品阶颜色(0, 1，3，5，7 对应 白绿蓝紫金),是否跟踪,所在包裹分类（2为道具，3为宝石，4为交易物，6为装备，7为宝物，9为装备碎片，10为幻兽碎片,排序权重， 权重越大，越排靠前,是否可直接使用,是否可批量使用,道具使用角色等级,功效类型,功效值1,功效值2,时限性道具BUFFER ID串,消耗类型(0为实时性，1为时效性。平台接口需要),有效时长（分钟为单位，无过期时间填0）,该碎片合成后的装备ID,幻兽宝物碎片抢夺玩家概率,幻兽宝物碎片抢夺机器人概率,对应的宝物道具ID,碎片可合成的幻兽ID,碎片可合成的女神id,合成需要的碎片数量,宝物碎片排位编号,宝箱随机概率,点击后链接到其他的界面的id,角色最大使用等级,是否获得的时候自动使用,随机宝物刷出此道具时，是否需要广播,是否需要广播的随机道具(宝箱用）
id__kn,title__s,equip_sort_id,intro__s,stack_num,res_id,pic_id,prof,is_bind,is_protect,is_recycle,sale_price,quality,need_trace,package_type,rank_weight,is_use,is_use_batch,ch_level,function_type,function_value1,function_value2__t,buffer_ids,use_type,useful_time,chip_mix_eid,baowu_chip_rob_player_proba,baowu_chip_rob_robot_proba,baowu_equip_id,pet_base_id,goddess_base_id,need_chip_num,baowu_chip_orderby,random_param__t,open_function_id,ch_level_max,is_use_when_get,is_bc_opened,is_bc_gift
21020001,天使之翼,2102,传说中天使的羽翼，可用来升级翅膀,999999999,0,21010681,0,1,0,1,2000,7,1,2,800,0,0,0,27,1000,,0,0,0,0,,,,,,,,,,999999999,,,,,
21010001,打孔石,2101,据说是神遗留在人间的石头，可给装备打孔,999999999,0,21010049,0,1,0,1,2000,0,0,2,800,0,0,0,0,0,,0,0,0,0,,,,,,,,,20,999999999,,,,,
21010002,银口哨,2101,自古流传下来的银口哨，可用于训练幻兽,999999999,0,21010047,0,1,0,1,1000,0,1,2,799,0,0,0,0,0,,0,0,0,0,,,,,,,,,16,999999999,,,,,
21010003,xo兽,2101,传说中万能幻兽的魂魄，可用于幻兽的幻化,999999999,0,21010046,0,0,0,0,0,5,0,4,7,0,0,0,18,0,,0,0,0,0,,,,,,,,,13,999999999,,,,,
21010004,5万金币,2101,使用可获得5万金币,999999999,0,21010477,0,1,0,0,0,0,0,2,1000,1,1,0,15,50000,,0,0,0,0,,,,,,,,,,999999999,1,,,,
21010005,强攻旗,2101,可以恢复任意关卡5次挑战次数,999999999,0,21010052,0,1,0,0,0,0,0,2,7,0,0,0,0,5,,0,0,0,0,,,,,,,,,,999999999,,,,,
21010006,免战牌,2101,可获得4小时的免战时间，免战时间内不会被抢夺,999999999,0,21010060,0,1,0,0,0,0,0,2,6,0,0,0,0,14400,,0,0,0,0,,,,,,,,,,999999999,,,,,
21010007,兽魂,2101,可用于幻兽祭坛兑换幻晶、幻兽碎片,999999999,0,21010278,0,1,0,0,0,0,0,2,5,1,1,0,11,1,,0,0,0,0,,,,,,,,,,999999999,1,,,,
21012301,紫色1阶洗炼书,2101,可用来洗炼紫色1阶装备,999999999,0,21010069,0,1,0,1,500,5,0,2,765,0,0,30,23,0,,0,0,0,0,,,,,,,,,22,999999999,,,,,
21012302,紫色2阶洗炼书,2101,可用来洗炼紫色2阶装备,999999999,0,21010069,0,1,0,1,1000,6,0,2,766,0,0,40,23,0,,0,0,0,0,,,,,,,,,22,999999999,,,,,
